dm_key,dm_code_sample,primary_name,variant_count,total_people,all_variants
5956,595600,Grogin,2,2,Grogin (1) | Kirkman (1)
5959,595900,Kriger,2,2,Kriger (1) | Krigger (1)
5964,596490,Kurnitzer,2,2,Kurnitzer (1) | Krems (1)
5980,598000,Gerrell,2,2,Gerrell (1) | Curley (1)
6940,694000,Maryashe,2,2,Maryashe (1) | Morris (1)
7390,739000,Father,2,2,Father (1) | Vitry (1)
7436,743674,Pestonowicz,2,2,Pestonowicz (1) | Weston (1)
7843,784300,Pleshette-Goodman,2,2,Pleshette-Goodman (1) | Pleshette (1)
7954,795438,Werkstell,2,2,Werkstell (1) | Verkshtel (1)
7986,798600,Berlin,2,2,Berlin (1) | Perlman (1)
8376,837674,Litvinovsky,2,2,Litvinovsky (1) | Litvinobsky (1)
9000,900000,Rier,2,2,Rier (1) | R (1)
9470,947000,Rosoff,2,2,Rosoff (1) | Rozow (1)
9750,975000,Reybach,2,2,Reybach (1) | Rivkah (1)
0975,097500,Auerbach,1,2,Auerbach (2)
3546,354600,Tekotzino,1,2,Tekotzino (2)
3643,364360,Demenstein,1,2,Demenstein (2)
3700,370000,Titov,1,2,Titov (2)
3730,373000,David,1,2,David (2)
3945,394590,Drucker,1,2,Drucker (2)
4365,436570,Zeidenkop,1,2,Zeidenkop (2)
4500,450000,Shosek,1,2,Shosek (2)
4579,457900,Skvira,1,2,Skvira (2)
4864,486450,Slonimsky,1,2,Slonimsky (2)
4870,487000,Selib,1,2,Selib (2)
5454,545400,Cheskis,1,2,Cheskis (2)
5468,546867,Katzenellenbogen,1,2,Katzenellenbogen (2)
5676,567640,Kompanietz,1,2,Kompanietz (2)
5963,596300,Grunt,1,2,Grunt (2)
6164,616460,Najanson,1,2,Najanson (2)
6495,649500,Mizrahi,1,2,Mizrahi (2)
6890,689000,Miller,1,2,Miller (2)
6958,695830,Margaliot,1,2,Margaliot (2)
7360,736000,Fedotin,1,2,Fedotin (2)
7860,786000,Blum,1,2,Blum (2)
7863,786380,Blumenthal,1,2,Blumenthal (2)
7945,794560,Briskin,1,2,Briskin (2)
7948,794870,Braslav,1,2,Braslav (2)
7980,798000,Perl,1,2,Perl (2)
7987,798700,Perlow,1,2,Perlow (2)
8490,849000,Lazar,1,2,Lazar (2)
8786,878600,Lublin,1,2,Lublin (2)
9648,964890,Rinzler,1,2,Rinzler (2)
